step,signal,queue
0,2489157872,0
0,2489157876,0
0,30037903,0
0,30037904,0
1,2489157872,0
1,2489157876,0
1,30037903,0
1,30037904,0
2,2489157872,0
2,2489157876,0
2,30037903,0
2,30037904,0
3,2489157872,0
3,2489157876,0
3,30037903,0
3,30037904,0
4,2489157872,0
4,2489157876,0
4,30037903,0
4,30037904,0
5,2489157872,0
5,2489157876,0
5,30037903,0
5,30037904,0
6,2489157872,0
6,2489157876,0
6,30037903,0
6,30037904,0
7,2489157872,0
7,2489157876,0
7,30037903,0
7,30037904,0
8,2489157872,0
8,2489157876,0
8,30037903,0
8,30037904,0
9,2489157872,0
9,2489157876,0
9,30037903,0
9,30037904,0
10,2489157872,0
10,2489157876,0
10,30037903,0
10,30037904,0
11,2489157872,0
11,2489157876,0
11,30037903,0
11,30037904,0
12,2489157872,0
12,2489157876,0
12,30037903,0
12,30037904,0
13,2489157872,0
13,2489157876,0
13,30037903,0
13,30037904,0
14,2489157872,0
14,2489157876,0
14,30037903,0
14,30037904,0
15,2489157872,0
15,2489157876,0
15,30037903,0
15,30037904,0
16,2489157872,0
16,2489157876,0
16,30037903,0
16,30037904,0
17,2489157872,0
17,2489157876,0
17,30037903,0
17,30037904,0
18,2489157872,0
18,2489157876,0
18,30037903,0
18,30037904,0
19,2489157872,0
19,2489157876,0
19,30037903,0
19,30037904,0
20,2489157872,2
20,2489157876,0
20,30037903,0
20,30037904,0
21,2489157872,2
21,2489157876,0
21,30037903,0
21,30037904,0
22,2489157872,2
22,2489157876,0
22,30037903,0
22,30037904,0
23,2489157872,2
23,2489157876,0
23,30037903,0
23,30037904,0
24,2489157872,2
24,2489157876,0
24,30037903,0
24,30037904,0
25,2489157872,2
25,2489157876,0
25,30037903,0
25,30037904,0
26,2489157872,2
26,2489157876,0
26,30037903,0
26,30037904,0
27,2489157872,2
27,2489157876,0
27,30037903,0
27,30037904,0
28,2489157872,2
28,2489157876,0
28,30037903,0
28,30037904,0
29,2489157872,2
29,2489157876,0
29,30037903,0
29,30037904,0
30,2489157872,2
30,2489157876,0
30,30037903,0
30,30037904,0
31,2489157872,2
31,2489157876,0
31,30037903,0
31,30037904,0
32,2489157872,2
32,2489157876,0
32,30037903,0
32,30037904,0
33,2489157872,2
33,2489157876,0
33,30037903,0
33,30037904,0
34,2489157872,2
34,2489157876,0
34,30037903,0
34,30037904,0
35,2489157872,2
35,2489157876,0
35,30037903,0
35,30037904,0
36,2489157872,2
36,2489157876,0
36,30037903,0
36,30037904,0
37,2489157872,2
37,2489157876,0
37,30037903,0
37,30037904,0
38,2489157872,2
38,2489157876,0
38,30037903,0
38,30037904,0
39,2489157872,2
39,2489157876,0
39,30037903,0
39,30037904,0
40,2489157872,2
40,2489157876,1
40,30037903,0
40,30037904,0
41,2489157872,2
41,2489157876,1
41,30037903,0
41,30037904,0
42,2489157872,2
42,2489157876,1
42,30037903,0
42,30037904,0
43,2489157872,2
43,2489157876,1
43,30037903,1
43,30037904,0
44,2489157872,2
44,2489157876,1
44,30037903,1
44,30037904,0
45,2489157872,2
45,2489157876,1
45,30037903,1
45,30037904,0
46,2489157872,2
46,2489157876,1
46,30037903,1
46,30037904,0
47,2489157872,2
47,2489157876,1
47,30037903,1
47,30037904,0
48,2489157872,2
48,2489157876,1
48,30037903,1
48,30037904,0
49,2489157872,2
49,2489157876,1
49,30037903,2
49,30037904,0
50,2489157872,2
50,2489157876,1
50,30037903,4
50,30037904,0
51,2489157872,2
51,2489157876,1
51,30037903,4
51,30037904,0
52,2489157872,2
52,2489157876,1
52,30037903,5
52,30037904,0
53,2489157872,2
53,2489157876,1
53,30037903,7
53,30037904,0
54,2489157872,2
54,2489157876,1
54,30037903,5
54,30037904,2
55,2489157872,2
55,2489157876,1
55,30037903,5
55,30037904,0
56,2489157872,2
56,2489157876,1
56,30037903,5
56,30037904,0
57,2489157872,2
57,2489157876,1
57,30037903,5
57,30037904,0
58,2489157872,2
58,2489157876,3
58,30037903,5
58,30037904,0
59,2489157872,2
59,2489157876,3
59,30037903,5
59,30037904,0
60,2489157872,2
60,2489157876,3
60,30037903,5
60,30037904,0
61,2489157872,2
61,2489157876,3
61,30037903,5
61,30037904,2
62,2489157872,2
62,2489157876,3
62,30037903,5
62,30037904,2
63,2489157872,2
63,2489157876,3
63,30037903,5
63,30037904,2
64,2489157872,2
64,2489157876,3
64,30037903,5
64,30037904,4
65,2489157872,2
65,2489157876,3
65,30037903,5
65,30037904,4
66,2489157872,2
66,2489157876,3
66,30037903,6
66,30037904,4
67,2489157872,2
67,2489157876,3
67,30037903,6
67,30037904,4
68,2489157872,2
68,2489157876,3
68,30037903,6
68,30037904,4
69,2489157872,2
69,2489157876,3
69,30037903,7
69,30037904,4
70,2489157872,2
70,2489157876,3
70,30037903,7
70,30037904,4
71,2489157872,2
71,2489157876,3
71,30037903,7
71,30037904,4
72,2489157872,2
72,2489157876,3
72,30037903,7
72,30037904,4
73,2489157872,2
73,2489157876,3
73,30037903,7
73,30037904,4
74,2489157872,2
74,2489157876,3
74,30037903,7
74,30037904,4
75,2489157872,2
75,2489157876,3
75,30037903,7
75,30037904,4
76,2489157872,2
76,2489157876,3
76,30037903,7
76,30037904,4
77,2489157872,2
77,2489157876,3
77,30037903,7
77,30037904,4
78,2489157872,2
78,2489157876,3
78,30037903,8
78,30037904,4
79,2489157872,2
79,2489157876,3
79,30037903,8
79,30037904,4
80,2489157872,2
80,2489157876,3
80,30037903,8
80,30037904,4
81,2489157872,2
81,2489157876,3
81,30037903,8
81,30037904,4
82,2489157872,2
82,2489157876,3
82,30037903,9
82,30037904,4
83,2489157872,2
83,2489157876,3
83,30037903,9
83,30037904,4
84,2489157872,2
84,2489157876,3
84,30037903,9
84,30037904,4
85,2489157872,2
85,2489157876,3
85,30037903,10
85,30037904,4
86,2489157872,2
86,2489157876,3
86,30037903,10
86,30037904,4
87,2489157872,2
87,2489157876,3
87,30037903,11
87,30037904,4
88,2489157872,2
88,2489157876,3
88,30037903,11
88,30037904,4
89,2489157872,2
89,2489157876,3
89,30037903,11
89,30037904,4
90,2489157872,2
90,2489157876,3
90,30037903,11
90,30037904,4
91,2489157872,2
91,2489157876,3
91,30037903,11
91,30037904,4
92,2489157872,2
92,2489157876,3
92,30037903,12
92,30037904,4
93,2489157872,2
93,2489157876,3
93,30037903,12
93,30037904,4
94,2489157872,2
94,2489157876,3
94,30037903,12
94,30037904,4
95,2489157872,2
95,2489157876,3
95,30037903,13
95,30037904,4
96,2489157872,2
96,2489157876,3
96,30037903,13
96,30037904,4
97,2489157872,2
97,2489157876,3
97,30037903,14
97,30037904,4
98,2489157872,2
98,2489157876,3
98,30037903,14
98,30037904,4
99,2489157872,2
99,2489157876,3
99,30037903,14
99,30037904,4
100,2489157872,2
100,2489157876,3
100,30037903,14
100,30037904,6
101,2489157872,2
101,2489157876,3
101,30037903,14
101,30037904,4
102,2489157872,2
102,2489157876,3
102,30037903,14
102,30037904,4
103,2489157872,2
103,2489157876,3
103,30037903,14
103,30037904,4
104,2489157872,2
104,2489157876,3
104,30037903,14
104,30037904,4
105,2489157872,2
105,2489157876,3
105,30037903,14
105,30037904,4
106,2489157872,2
106,2489157876,3
106,30037903,16
106,30037904,4
107,2489157872,2
107,2489157876,3
107,30037903,16
107,30037904,4
108,2489157872,2
108,2489157876,3
108,30037903,16
108,30037904,6
109,2489157872,2
109,2489157876,3
109,30037903,16
109,30037904,6
110,2489157872,2
110,2489157876,3
110,30037903,16
110,30037904,6
111,2489157872,2
111,2489157876,3
111,30037903,16
111,30037904,6
112,2489157872,2
112,2489157876,3
112,30037903,16
112,30037904,6
113,2489157872,2
113,2489157876,3
113,30037903,16
113,30037904,6
114,2489157872,2
114,2489157876,3
114,30037903,16
114,30037904,6
115,2489157872,2
115,2489157876,3
115,30037903,16
115,30037904,6
116,2489157872,2
116,2489157876,3
116,30037903,16
116,30037904,6
117,2489157872,2
117,2489157876,3
117,30037903,16
117,30037904,6
118,2489157872,2
118,2489157876,3
118,30037903,16
118,30037904,6
119,2489157872,2
119,2489157876,3
119,30037903,16
119,30037904,6
120,2489157872,2
120,2489157876,3
120,30037903,16
120,30037904,6
121,2489157872,2
121,2489157876,3
121,30037903,16
121,30037904,6
122,2489157872,2
122,2489157876,3
122,30037903,16
122,30037904,6
123,2489157872,2
123,2489157876,3
123,30037903,16
123,30037904,6
124,2489157872,2
124,2489157876,3
124,30037903,16
124,30037904,6
125,2489157872,2
125,2489157876,3
125,30037903,16
125,30037904,6
126,2489157872,2
126,2489157876,3
126,30037903,16
126,30037904,6
127,2489157872,2
127,2489157876,3
127,30037903,16
127,30037904,6
128,2489157872,2
128,2489157876,3
128,30037903,16
128,30037904,6
129,2489157872,2
129,2489157876,3
129,30037903,16
129,30037904,6
130,2489157872,2
130,2489157876,3
130,30037903,16
130,30037904,6
131,2489157872,2
131,2489157876,3
131,30037903,16
131,30037904,6
132,2489157872,2
132,2489157876,3
132,30037903,16
132,30037904,6
133,2489157872,2
133,2489157876,3
133,30037903,16
133,30037904,6
134,2489157872,2
134,2489157876,3
134,30037903,18
134,30037904,6
135,2489157872,2
135,2489157876,3
135,30037903,18
135,30037904,6
136,2489157872,2
136,2489157876,3
136,30037903,18
136,30037904,6
137,2489157872,2
137,2489157876,3
137,30037903,18
137,30037904,6
138,2489157872,2
138,2489157876,3
138,30037903,18
138,30037904,6
139,2489157872,2
139,2489157876,3
139,30037903,18
139,30037904,6
140,2489157872,2
140,2489157876,3
140,30037903,18
140,30037904,6
141,2489157872,2
141,2489157876,3
141,30037903,18
141,30037904,6
142,2489157872,2
142,2489157876,3
142,30037903,18
142,30037904,6
143,2489157872,2
143,2489157876,3
143,30037903,18
143,30037904,6
144,2489157872,2
144,2489157876,3
144,30037903,18
144,30037904,6
145,2489157872,2
145,2489157876,3
145,30037903,18
145,30037904,6
146,2489157872,2
146,2489157876,3
146,30037903,18
146,30037904,6
147,2489157872,2
147,2489157876,3
147,30037903,18
147,30037904,6
148,2489157872,2
148,2489157876,3
148,30037903,18
148,30037904,6
149,2489157872,2
149,2489157876,3
149,30037903,18
149,30037904,6
150,2489157872,2
150,2489157876,3
150,30037903,20
150,30037904,6
151,2489157872,2
151,2489157876,3
151,30037903,20
151,30037904,6
152,2489157872,2
152,2489157876,3
152,30037903,20
152,30037904,6
153,2489157872,2
153,2489157876,3
