step,signal,queue,action,throughput,delay
0,2489157872,0,0,0,0.0
0,2489157876,0.0,0,0,0.0
0,30037903,0,1,0,0.0
0,30037904,0,2,0,0.0
1,2489157872,0,1,0,0.0
1,2489157876,0,2,0,0.0
1,30037903,0,0,0,0.0
1,30037904,0.0,1,0,0.0
2,2489157872,0,2,0,0.0
2,2489157876,0.0,0,0,0.0
2,30037903,0,1,0,0.0
2,30037904,0,2,0,0.0
3,2489157872,0,0,0,0.0
3,2489157876,0,1,0,0.0
3,30037903,0,2,0,0.0
3,30037904,0,0,0,0.0
4,2489157872,0,1,0,0.0
4,2489157876,0,2,0,0.0
4,30037903,0.0,0,0,0.0
4,30037904,0,1,0,0.0
5,2489157872,0,2,0,0.0
5,2489157876,0,0,0,0.0
5,30037903,0,1,0,0.0
5,30037904,0,2,0,0.0
6,2489157872,0.0,0,0,0.0
6,2489157876,0,1,0,0.0
6,30037903,0,2,0,0.0
6,30037904,0,0,0,0.0
7,2489157872,0,1,0,0.0
7,2489157876,0,2,0,0.0
7,30037903,0,0,0,0.0
7,30037904,0,1,0,0.0
8,2489157872,0,2,0,0.0
8,2489157876,0.0,1,0,0.0
8,30037903,0,0,0,0.0
8,30037904,0,2,0,0.0
9,2489157872,0,0,0,0.0
9,2489157876,0,1,0,0.0
9,30037903,0,2,0,0.0
9,30037904,0,0,0,0.0
10,2489157872,0,0,0,0.0
10,2489157876,0,1,0,0.0
10,30037903,0,2,0,0.0
10,30037904,0,0,0,0.0
11,2489157872,0.0,1,0,0.0
11,2489157876,0,1,0,0.0
11,30037903,0,2,0,0.0
11,30037904,0,0,0,0.0
12,2489157872,0,1,0,0.0
12,2489157876,0.0,2,0,0.0
12,30037903,0,0,0,0.0
12,30037904,0,1,0,0.0
13,2489157872,0,2,0,0.0
13,2489157876,0,0,0,0.0
13,30037903,0,0,0,0.0
13,30037904,0,0,0,0.0
14,2489157872,0,2,0,0.0
14,2489157876,0,1,0,0.0
14,30037903,0,2,0,0.0
14,30037904,0,1,0,0.0
15,2489157872,0,2,0,0.0
15,2489157876,0,1,0,0.0
15,30037903,0,2,0,0.0
15,30037904,0,0,0,0.0
16,2489157872,0,2,0,0.0
16,2489157876,0,1,0,0.0
16,30037903,0,0,0,0.0
16,30037904,0,1,0,0.0
17,2489157872,0,2,0,0.0
17,2489157876,0,2,0,0.0
17,30037903,0,0,0,0.0
17,30037904,0,1,0,0.0
18,2489157872,0,0,0,1.0
18,2489157876,0,2,0,1.0
18,30037903,0.0,1,0,1.0
18,30037904,0,0,0,1.0
19,2489157872,0.0,2,0,2.0
19,2489157876,0,1,0,2.0
19,30037903,0,0,0,2.0
19,30037904,0,2,0,2.0
20,2489157872,0,1,0,3.0
20,2489157876,0,0,0,3.0
20,30037903,0.0,2,0,3.0
20,30037904,0,1,0,3.0
21,2489157872,0,0,0,4.0
21,2489157876,0,2,0,4.0
21,30037903,0,1,0,4.0
21,30037904,0,0,0,4.0
22,2489157872,0.0,2,0,5.0
22,2489157876,0.0,1,0,5.0
22,30037903,0,0,0,5.0
22,30037904,0,2,0,5.0
23,2489157872,0,0,0,6.0
23,2489157876,0,0,0,6.0
23,30037903,0,2,0,6.0
23,30037904,0,1,0,6.0
24,2489157872,0,1,0,8.0
24,2489157876,0,0,0,8.0
24,30037903,0,2,0,8.0
24,30037904,0,1,0,8.0
25,2489157872,0,0,0,10.0
25,2489157876,0,2,0,10.0
25,30037903,0,1,0,10.0
25,30037904,0,1,0,10.0
26,2489157872,0,0,0,10.0
26,2489157876,0,2,0,10.0
26,30037903,0,1,0,10.0
26,30037904,0.0,0,0,10.0
27,2489157872,0,2,1,0.0
27,2489157876,0,1,1,0.0
27,30037903,0,2,1,0.0
27,30037904,0,2,1,0.0
28,2489157872,0,0,0,0.0
28,2489157876,0,1,0,0.0
28,30037903,0,2,0,0.0
28,30037904,0,0,0,0.0
29,2489157872,0,1,0,0.0
29,2489157876,0,2,0,0.0
29,30037903,0,1,0,0.0
29,30037904,0,0,0,0.0
30,2489157872,0.0,2,1,0.0
